Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.028 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpScanResultFormTest$JsonAnySetterDeserialization
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpUploaderClientTest$ErrorPath
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpUploaderClientTest$HappyPath
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in uk.gov.defra.trade.imports.animals.configuration.CacheConfigTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.147 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpUploaderClientTest$UploadFile
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.118 s -- in uk.gov.defra.trade.imports.animals.configuration.CommitRetryingMongoTransactionManagerTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in uk.gov.defra.trade.imports.animals.configuration.MetricsConfigTest
Tests run: 19, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.195 s -- in uk.gov.defra.trade.imports.animals.configuration.NotificationTtlConfigTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in uk.gov.defra.trade.imports.animals.configuration.MetricsConfigurationPropertiesTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in uk.gov.defra.trade.imports.animals.configuration.tls.CertificateLoaderTest
Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.077 s -- in uk.gov.defra.trade.imports.animals.configuration.TransientTransactionRetryInterceptorTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.030 s -- in uk.gov.defra.trade.imports.animals.interceptor.TraceIdPropagationInterceptorTest
Tests run: 23, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.087 s -- in uk.gov.defra.trade.imports.animals.exceptions.GlobalExceptionHandlerTest
Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.038 s -- in uk.gov.defra.trade.imports.animals.notification.ConsignmentPartyResolverTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationAggregateTest
Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.432 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationContentMapperTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$AmendNotification
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$CancelAmendNotification
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.021 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$Delete
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.019 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$CopyNotification
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.027 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$FindAll
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.020 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$FindAllReferenceNumbers
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.019 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$GetOutboxEvents
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.015 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$FindFulfilments
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.050 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$PostNotification
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$ReplaceNotification
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.039 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$SoftDelete
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.022 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$ReplayOutboxEvents
Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationCopyMapperTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationCopyMapperTest$NullSafety
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationCopyMapperTest$ExcludedFields
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.021 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$SubmitNotification
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.248 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationExpirySweeperConditionTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationExpirySweeperTest$Sweep
